iter	Passed	Remaining
641	998	556
642	999	555
643	1001	553
644	1002	551
645	1003	550
646	1005	548
647	1006	546
648	1008	545
649	1009	543
650	1011	542
651	1012	540
652	1013	538
653	1015	537
654	1016	535
655	1018	533
656	1019	532
657	1021	530
658	1022	529
659	1023	527
660	1025	526
661	1028	524
662	1029	523
663	1031	521
664	1032	520
665	1034	518
666	1035	516
667	1036	515
668	1038	513
669	1039	512
670	1040	510
671	1042	508
672	1043	507
673	1045	505
674	1046	503
675	1047	502
676	1049	500
677	1050	499
678	1052	497
679	1053	495
680	1055	494
681	1056	492
682	1058	491
683	1059	489
684	1061	488
685	1063	486
686	1064	485
687	1066	483
688	1068	482
689	1069	480
690	1071	478
691	1072	477
692	1074	475
693	1075	474
694	1077	472
695	1078	471
696	1080	469
697	1082	468
698	1084	466
699	1085	465
700	1087	463
701	1089	462
702	1090	460
703	1092	459
704	1093	457
705	1095	456
706	1096	454
707	1098	452
708	1099	451
709	1101	449
710	1103	448
711	1104	446
712	1106	445
713	1108	444
714	1110	442
715	1112	441
716	1113	439
717	1115	438
718	1116	436
719	1118	434
720	1119	433
721	1121	431
722	1123	430
723	1124	428
724	1125	427
725	1127	425
726	1129	423
727	1130	422
728	1132	420
729	1133	419
730	1135	417
731	1136	416
732	1138	414
733	1140	413
734	1141	411
735	1142	409
736	1144	408
737	1145	406
738	1147	405
739	1149	403
740	1150	402
741	1152	400
742	1153	399
743	1155	397
744	1157	396
745	1158	394
746	1159	392
747	1161	391
748	1162	389
749	1164	388
750	1166	386
751	1167	385
752	1169	383
753	1171	382
754	1173	380
755	1174	379
756	1176	377
757	1177	376
758	1179	374
759	1180	372
760	1182	371
761	1183	369
762	1184	368
763	1186	366
764	1188	365
765	1189	363
766	1191	361
767	1192	360
768	1194	358
769	1195	357
770	1196	355
771	1198	353
772	1199	352
773	1201	350
774	1202	349
775	1204	347
776	1205	346
777	1207	344
778	1208	342
779	1210	341
780	1211	339
781	1212	338
782	1214	336
783	1215	334
784	1217	333
785	1218	331
786	1220	330
787	1222	328
788	1223	327
789	1224	325
790	1226	324
791	1227	322
792	1229	320
793	1230	319
794	1231	317
795	1233	316
796	1234	314
797	1236	312
798	1237	311
799	1238	309
800	1240	308
801	1241	306
802	1242	304
803	1244	303
804	1245	301
805	1247	300
806	1248	298
807	1250	297
808	1251	295
809	1252	293
810	1254	292
811	1255	290
812	1256	289
813	1258	287
814	1259	285
815	1261	284
816	1262	282
817	1263	281
818	1265	279
819	1266	278
820	1267	276
821	1269	274
822	1270	273
823	1272	271
824	1273	270
825	1274	268
826	1276	266
827	1277	265
828	1278	263
829	1280	262
830	1281	260
831	1282	259
832	1284	257
833	1285	255
834	1287	254
835	1288	252
836	1289	251
837	1291	249
838	1292	248
839	1294	246
840	1295	244
841	1296	243
842	1298	241
843	1299	240
844	1300	238
845	1302	237
846	1303	235
847	1304	233
848	1306	232
849	1307	230
850	1309	229
851	1310	227
852	1311	226
853	1312	224
854	1314	222
855	1315	221
856	1317	219
857	1318	218
858	1320	216
859	1321	215
860	1322	213
861	1324	212
862	1325	210
863	1326	208
864	1328	207
865	1330	205
866	1331	204
867	1333	202
868	1334	201
869	1335	199
870	1337	198
871	1338	196
